,time,soc,curr,volt
410,56:50.0,73.5,3.7,349.6
411,57:04.1,73.5,3.1,349.8
412,57:17.9,73.5,3,349.8
413,57:31.6,73.5,3,349.8
414,57:45.7,73.5,3.1,349.8
415,57:59.5,73,3.6,349.4
416,58:13.7,73,3.1,349.8
417,58:27.7,73,3.6,349.7
418,58:41.6,73,3.1,349.8
419,58:55.7,73,2.3,349.8
420,59:09.6,73,3.7,349.4
421,59:23.7,73,3.1,349.7
422,59:37.6,73,3.6,349.7
423,59:51.7,73,3.8,349.7
424,00:05.6,73,2.6,349.7
425,00:19.3,73,3.6,349.7
426,00:33.3,73,3.1,349.7
427,00:47.2,73,3.7,349.3
428,01:01.3,73,3.8,349.7
429,40:00.5,73,2.4,350
430,40:28.3,73,2.4,349.7
431,40:42.4,73,1.9,349.7
432,40:56.2,73,10,349.3
433,41:11.7,73,14.7,348.4
434,41:19.6,73,1.9,349.6
435,41:27.2,73,2.3,349.6
436,41:34.8,73,1.8,349.6
437,41:42.8,73,2.5,349.6
438,41:50.4,73,1.9,349.6
439,41:58.3,73,3.5,349.5
440,42:05.6,73,6.1,349.4
441,42:13.1,73,32.7,347.5
442,42:20.6,73,3.8,349.1
443,42:28.1,73,-15.9,350.6
444,42:36.6,73,7.1,349.2
445,42:44.5,73,17.1,348.4
446,42:52.1,73,2.6,349.3
447,42:59.7,73,3.1,349.5
448,43:07.2,73,2.3,349.4
449,43:14.7,73,3,349.5
450,43:22.6,73,2.4,349.4
451,43:30.2,73,3,349.4
452,43:37.9,73,3,349.4
453,43:45.2,73,2.4,349.1
454,43:52.7,73,3.3,349.4
455,44:00.2,73,2.6,349.4
456,44:07.7,73,3.2,349.4
457,44:15.3,73,2.5,349.4
458,44:23.1,73,3.3,349.1
459,44:30.5,73,4.8,349.3
460,44:37.7,73,-4,349.5
461,44:45.6,72.5,176.1,338.9
462,44:53.3,72.5,89.8,341
463,45:00.8,72.5,-46.4,349.9
464,45:08.8,72.5,24.1,345.8
465,45:16.3,72.5,-45.2,349.4
466,45:23.8,72.5,-48,352.5
467,45:31.3,72.5,10.4,347.9
468,45:38.9,72.5,4.9,347.9
469,45:46.6,72.5,-21.7,349.5
470,45:54.1,72.5,-15.8,349.2
471,46:02.1,72.5,3.2,348.6
472,46:10.1,72.5,3,348.5
473,46:18.4,72.5,3.2,348.5
474,46:26.0,72.5,2.4,348.5
475,46:33.5,72.5,3.6,348.6
476,46:42.0,72.5,32.7,346.9
477,46:49.5,72.5,-10,348.7
478,46:57.5,72.5,63.1,345
479,47:04.9,72.5,38,346.2
480,47:12.4,72,-16,348.9
481,47:21.5,72,3.3,347.6
482,47:29.0,72,-34.9,349.4
483,47:36.5,72,2.3,348.1
484,47:44.0,72,67.9,344.2
485,47:51.7,72,4.8,347.9
486,47:59.2,72,-33.4,350.2
487,48:07.2,72,-0.4,348.7
488,48:15.2,72,1.8,348.4
489,48:23.0,72,12,346.9
490,48:30.5,72,1.4,348.1
491,48:38.2,72,-5.5,348.6
492,48:46.0,72,4.4,348
493,48:53.6,72,5.6,347.9
494,49:01.1,72,4.1,347.7
495,49:09.3,72,3.3,348.2
496,49:16.6,72,3.2,347.8
497,49:24.1,72,3.9,348.2
498,49:31.7,72,2.4,348.2
499,49:39.2,72,3,348.2
500,49:46.9,72,3,348.3
501,49:54.9,72,3.2,347.9
502,50:02.7,72,3.8,348.3
503,50:10.3,72,3,348.3
504,50:18.0,72,3,348.3
